Agency,Bureau,Account,Program,Cohort Year,Original Subsidy Rate (%),Current Reestimated Rate (%),Change Due to Interest Rates (pct pts),Change Due to Technical (pct pts),Current Reestimate Amt ($K),Net Lifetime Reestimate ($K),Net Lifetime Reest Excl Interest ($K),Total Disbursements ($K),Outstanding Balance ($K)
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Housing Finance Agency Risk Sharing,2019,-0.23,-1.9,,-1.67,444,-565,-537,54240,52957
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Housing Finance Agency Risk Sharing,2020,-1.83,-1.29,-0.36,0.9,-79,1180,1074,186993,176999
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Housing Finance Agency Risk Sharing,2021,-1.32,-2.57,0.02,-1.28,778,1943,2024,183703,173859
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Housing Finance Agency Risk Sharing,2022,-2.27,-2.36,0.3,-0.4,540,-1812,-2066,92475,90108
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Housing Finance Agency Risk Sharing,2024,-1.14,-17.73,,-16.59,-717,-717,-937,17546,17514
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Residential Care Facilities,2018,-7.04,-5.64,-0.06,1.46,-3188,7519,7048,152692,91700
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Residential Care Facilities,2019,-5.81,-5.96,-0.1,-0.05,-109,834,-196,152812,122517
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Residential Care Facilities,2020,-5.3,-7.65,-0.85,-1.5,-482,-2220,-2176,97015,92770
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Residential Care Facilities,2021,-6.32,-4.84,-0.21,1.69,865,-318,242,91774,89247
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Residential Care Facilities,2022,-6.51,-4.01,0.54,1.96,1484,1301,800,31035,30751
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Residential Care Facilities,2024,-4.99,-3.35,,1.64,-131,-131,380,216793,216793
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Residential Care Facility Refinances,2018,-5.94,-5.34,-0.01,0.62,-4214,83036,94827,3358279,2520799
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Residential Care Facility Refinances,2019,-5.23,-6.02,-0.08,-0.71,-22743,-35833,-25838,3766139,3011694
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Residential Care Facility Refinances,2020,-4.95,-5.86,-0.76,-0.15,-21843,-32295,-32613,3722141,3125813
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Residential Care Facility Refinances,2021,-2.7,-4.83,-0.1,-2.02,-28051,-92971,-85580,4096664,3556654
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Residential Care Facility Refinances,2022,-3.5,-5.08,0.35,-1.93,-3902,-42980,-39928,2613323,2516969
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Residential Care Facility Refinances,2023,-2.27,-4.04,-0.08,-1.69,18026,-49342,-47402,2739523,2708628
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Residential Care Facility Refinances,2024,-1.12,-3.18,,-2.06,-62341,-62341,-60018,4018095,4012571
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Hospitals,2018,-5.23,-9.18,-0.01,-3.94,-78,-8690,-7588,200000,183347
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Hospitals,2019,-5.59,-7.15,-0.09,-1.46,-371,-3269,-3270,218411,186719
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Hospitals,2020,-5.65,-7,-0.95,-0.4,-1445,-25678,-21869,695415,621940
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Hospitals,2021,-5.81,-8.32,-0.29,-2.22,-4757,-19165,-17057,1224818,1132327
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Hospitals,2022,-5.37,-5.81,0.55,-0.99,439,-207,-453,134816,122068
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Hospitals,2023,-5.73,-6.96,0.69,-1.92,-1658,-1658,-1503,23109,23109
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Hospitals,2024,-5.22,-4.76,,0.46,188,188,95,70250,70250
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Other Rental,2018,-3.68,-3.66,,0.02,-7894,-1220,465,214284,169270
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Other Rental,2019,-0.89,-2.16,-0.01,-1.26,-3978,-3831,-3968,191367,184744
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Other Rental,2020,-1.8,-5.38,-0.22,-3.36,-760,-1588,-1763,44542,43015
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Other Rental,2021,-2.27,-1.89,-0.05,0.43,-386,1346,1467,356700,352452
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Other Rental,2022,-3.34,-2.89,0.25,0.2,-2457,1227,1163,214046,213650
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Other Rental,2023,-2.64,-2.33,0.18,0.13,2540,603,164,50316,50316
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Other Rental,2024,-2.99,-1.61,,1.38,-992,-992,1210,117304,117304
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Title 1 Property Improvement,2018,-1.07,-3.16,-0.39,-1.7,-96,-1165,-988,55328,12841
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Title 1 Property Improvement,2019,-1,-2.93,0.01,-1.94,232,-1184,-1097,54733,18460
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Title 1 Property Improvement,2020,-1.41,-2.79,-0.01,-1.37,-15,-479,-404,32274,13906
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Title 1 Property Improvement,2021,-2.45,-2.27,-0.06,0.24,103,77,75,25041,16790
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Title 1 Property Improvement,2022,-1.69,-2.13,,-0.44,386,94,-77,19111,16786
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Title 1 Property Improvement,2023,-1.6,-2.04,0.03,-0.47,734,652,-74,15995,15495
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Title 1 Property Improvement,2024,-2.51,-2.2,0.02,0.29,297,297,59,15573,15573
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Title 1 Manufactured Housing,2018,-4.36,7.71,0.04,12.03,171,3225,3239,27479,17221
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Title 1 Manufactured Housing,2019,-3.87,-4.31,0.02,-0.46,291,396,424,10562,7443
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Title 1 Manufactured Housing,2020,-4.79,-2.95,-0.24,2.08,161,13,25,2512,1691
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,Title 1 Manufactured Housing,2021,-6.2,-3.87,-0.21,2.54,152,65,65,225,113
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,1992,0.46,0.38,(3),-0.08,-12845,-26135,-2428,3221024,6934
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,1993,1.65,1.64,(3),-0.01,-1801,-2948,-385,3399834,
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,1994,0.11,0.1,(3),-0.01,-3355,-4756,-637,4789465,3190
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,1995,-0.39,-0.4,(3),-0.01,-2756,-4071,491,5606051,18434
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,1996,0,-0.03,(3),-0.03,-3940,-10539,-1644,6057345,62412
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,1997,-0.02,-0.02,(3),,-2803,-773,98,6288531,19992
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,1998,0.14,0.13,(3),-0.01,-1877,-2402,-507,6047175,61396
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,1999,0.03,0.01,(3),-0.02,-4024,-4718,-1096,5639721,103883
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,2000,1.31,1.25,(3),-0.06,-5788,-12422,-2749,4875795,103350
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,2001,-0.14,-0.17,(3),-0.03,-479,-5391,1538,6041918,71288
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,2002,-1.53,-1.51,(3),0.02,1755,7743,2213,9128597,134460
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,2003,-1.02,-1.07,(3),-0.05,-20012,-16275,5195,10809024,209952
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,2004,-1,-1.06,(3),-0.07,-26015,-27657,8870,14868188,513030
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,2005,-0.85,-1.04,(3),-0.19,-60817,-68943,26585,14888208,350381
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,2006,-1.74,-1.89,(3),-0.15,-111570,-87886,34748,24962727,855777
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,2007,-2.46,-2.59,(3),-0.13,27458,-75998,34100,29320670,715330
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,2008,-1.58,-2.1,(3),-0.52,-132888,-300222,139173,28386413,470678
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,2009,-2.14,-1.8,(3),0.34,29605,41633,26636,7786193,1093932
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,2010,-2.96,-2.77,(3),0.19,41504,48845,29685,15498918,1782744
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,2011,-2.73,-2.64,(3),0.09,-1253,23938,15854,16844050,2983728
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,2012,-1.98,-2.09,(3),-0.11,-24515,-28996,21440,20976966,5822720
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,2013,-4.29,-4.43,(3),-0.14,3695,-39699,30994,23048635,6515751
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,2014,-3.84,-4.04,(3),-0.2,-30534,-38925,29063,15077444,4782875
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,2015,-4.12,-4.44,(3),-0.32,-26333,-47852,39207,12806885,4462219
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,2016,-3.22,-3.33,(3),-0.11,16837,-15967,13460,14482911,5917031
Department of Housing and Urban Development,Housing Programs,FHA-General and Special Risk,GI/SRI Pre-2018 Reestimates,2017,0,-0.43,(3),-0.43,-51144,-96217,-80806,19340974,10712482
Department of Housing and Urban Development,Government National Mortgage Association,Guarantees of Mortgage-backed Securities Loan Guarantee Program,Guarantees of Mortgage-backed Securities,2024,-0.32,-0.31,0.04,-0.03,-1205577,-3063342,-2974612,9973359685,2648447000
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,1992,6.73,4.24,(3),-2.49,-6,-2940,276,48990,
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,1993,11.69,20.88,(3),9.19,-3,-37033,-20915,57501,
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,1994,12.73,1.58,(3),-11.15,-2,-16583,-8687,59090,
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,1995,18.73,3.02,(3),-15.71,-2,-14343,-8014,38085,
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,1997,13,7.75,(3),-5.25,-1,-1301,-589,13512,
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,1998,13,0.6,(3),-12.4,,-2816,-1568,17019,
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,1999,7.54,4.65,(3),-2.89,,-2666,-737,46810,
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2000,7.54,4.8,8.72,-11.46,-*,-3052,-2229,53928,53
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2001,6.73,1.89,0.51,-5.35,,-3080,-1646,38747,
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2002,6,3.42,0.29,-2.87,-71,-2784,-1056,53034,866
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2003,6.91,7.65,0.37,0.37,-266,63,2400,56745,338
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2004,6.13,3.55,-0.02,-2.56,-1291,-4544,1377,75193,540
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2005,6.76,3.3,-0.15,-3.31,-382,-3875,-282,68054,3364
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2006,4.75,5.32,-0.01,0.58,-135,-1039,645,102933,6079
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2007,6.45,10.2,0.49,3.26,-35,1410,2354,66327,2357
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2008,6.56,0.51,0.75,-6.8,-1,-5972,-3865,69642,112
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2009,7.73,1.07,-0.41,-6.25,-410,-6325,-4376,69592,12578
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2010,7.29,1.36,0.13,-6.06,-285,-4265,-4480,61491,22057
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2011,8.16,4.42,0.89,-4.63,-388,-3931,-525,78239,10500
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2012,8.42,3.41,0.44,-5.45,-64,-4020,-2186,69731,5363
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2013,5.57,3.07,0.18,-2.68,-288,-1903,-973,60079,18632
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2014,5.79,17.72,-0.04,11.97,-588,12147,11076,96109,42831
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2015,6.68,3.56,-0.01,-3.11,317,-3339,-3360,96226,35814
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2016,5.9,3.18,0.17,-2.89,194,-3277,-3035,108833,48024
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2017,6.31,8.9,-1.85,4.44,-526,2017,2323,88579,45080
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2018,6.49,0.34,-2,-4.15,-998,-7414,-6482,110615,32245
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2019,5.33,0.79,0.81,-5.35,-799,-5980,-5347,122737,39679
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2020,5.55,2.36,2.7,-5.89,-1558,-4021,-3792,120498,92946
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2021,12.3,2.49,-10.66,0.85,-419,-5003,-4888,50505,39908
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2022,9.87,2.28,-5.63,-1.96,-333,-7581,-7331,98451,87565
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2023,7.48,1.32,-3.56,-2.6,-7602,-8934,-8196,141570,57837
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Guaranteed Loans,2024,6.04,0.77,,-5.27,-2979,-2979,-2809,54876,40183
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Insured Loans,2010,3.08,7.33,-1.88,6.13,-*,41,36,852,11
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Insured Loans,2011,4.04,15.53,0.65,10.84,-7,78,71,676,
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Insured Loans,2015,3.87,-0.84,0.24,-4.95,-*,-26,-13,456,40
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Insured Loans,2016,3.28,18.49,0.13,15.08,296,256,213,1433,692
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Insured Loans,2017,6.89,-0.48,0.46,-7.83,-4,-70,-61,860,120
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Insured Loans,2018,7.04,0.03,-3.59,-3.42,-13,-222,-199,2889,1013
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Insured Loans,2019,5.92,2.14,10.95,-14.73,16,-89,-78,2109,1093
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Insured Loans,2020,6.21,1.38,4.02,-8.85,-11,-64,-61,1279,736
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Insured Loans,2021,12.75,2.04,-4.32,-6.39,-29,-281,-275,2584,1740
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Insured Loans,2022,9.51,2.38,-4.66,-2.47,-36,-187,-179,2565,1920
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Insured Loans,2023,6.27,3.89,-0.05,-2.33,10,-17,-16,695,631
Department of the Interior,Bureau of Indian Affairs,Indian Guaranteed Loan,Indian Insured Loans,2024,5.74,3.09,,-2.65,-8,-8,-7,285,252
International Assistance Programs,Agency for International Development,Loan Guarantees to Israel,Loan Guarantees to Israel,1994,0,-4.5,,-4.5,-18614,-321153,-70429,1563000,
International Assistance Programs,Agency for International Development,Loan Guarantees to Israel,Loan Guarantees to Israel,1995,0,-4.37,,-4.37,-20057,-250930,-55014,1250000,205904
International Assistance Programs,Agency for International Development,Loan Guarantees to Israel,Loan Guarantees to Israel,1996,0,-4.15,,-4.15,-24780,-305649,-73263,1751300,415060
International Assistance Programs,Agency for International Development,Loan Guarantees to Israel,Loan Guarantees to Israel,1997,0,-3.96,,-3.96,-22306,-210574,-50041,1250000,878305
International Assistance Programs,Agency for International Development,Loan Guarantees to Israel,Loan Guarantees to Israel,1998,0,-3.67,,-3.67,-25704,-181497,-52556,1411868,469243
International Assistance Programs,Agency for International Development,Loan Guarantees to Israel,Loan Guarantees to Israel,2003,0,-6.14,1.13,-7.27,174,-235406,-116723,1600000,516409
International Assistance Programs,Agency for International Development,Loan Guarantees to Israel,Loan Guarantees to Israel,2004,0,-5.04,-0.12,-4.92,-188351,-262084,-88098,1750000,1713363
International Assistance Programs,Agency for International Development,Loan Guarantees to Israel,Loan Guarantees to Israel,2005,0,0.52,0.58,-0.06,-963,-11251,4313,750000,750000
International Assistance Programs,Agency for International Development,MENA Loan Guarantee,Loan Guarantees to Jordan,2015,12.37,8.05,0.06,-4.38,-23515,-100624,-64882,1500000,
International Assistance Programs,United States International Development Finance Corporation,Insurance of Debt,Insurance of Debt,2021,-1,-0.8,,0.2,1294,501,1198,364000,364000
International Assistance Programs,United States International Development Finance Corporation,Insurance of Debt,Insurance of Debt,2022,-0.68,2.14,,2.82,22942,22334,19916,683796,683796
International Assistance Programs,United States International Development Finance Corporation,Insurance of Debt,Insurance of Debt,2023,-0.04,2.24,,2.28,11945,11945,11367,500000,500000
International Assistance Programs,United States International Development Finance Corporation,Program Account,USAID Mission-led Guarantees,2003,3.77,0.26,,-3.51,-164,-3298,-2672,147478,
International Assistance Programs,United States International Development Finance Corporation,Program Account,USAID Mission-led Guarantees,2005,5.08,-0.11,,-5.19,-244,-8635,-6976,121343,
International Assistance Programs,United States International Development Finance Corporation,Program Account,USAID Mission-led Guarantees,2008,3.79,-0.01,,-3.8,-660,-8848,-6230,147965,
International Assistance Programs,United States International Development Finance Corporation,Program Account,USAID Mission-led Guarantees,2009,2.16,-0.13,,-2.29,-241,-5202,-3457,69671,438
International Assistance Programs,United States International Development Finance Corporation,Program Account,USAID Mission-led Guarantees,2010,4.86,2.66,,-2.2,-1143,-8440,1110,232920,
International Assistance Programs,United States International Development Finance Corporation,Program Account,USAID Mission-led Guarantees,2011,2.16,4.7,,2.54,2551,-1895,-1193,85409,
International Assistance Programs,United States International Development Finance Corporation,Program Account,USAID Mission-led Guarantees,2012,7.56,-0.75,,-8.31,-1924,-19144,-13372,207568,
International Assistance Programs,United States International Development Finance Corporation,Program Account,USAID Mission-led Guarantees,2013,6.93,1.69,,-5.24,-1190,-4899,-3590,170774,2796
International Assistance Programs,United States International Development Finance Corporation,Program Account,USAID Mission-led Guarantees,2014,3.38,5.24,,1.86,5727,2486,2408,230296,15069
International Assistance Programs,United States International Development Finance Corporation,Program Account,USAID Mission-led Guarantees,2015,11.74,1.48,,-10.26,-9547,-16829,-15001,408603,22428
International Assistance Programs,United States International Development Finance Corporation,Program Account,USAID Mission-led Guarantees,2016,4.06,6.63,,2.57,-565,22289,18989,386578,48500
International Assistance Programs,United States International Development Finance Corporation,Program Account,USAID Mission-led Guarantees,2017,3.29,2.21,,-1.08,-4479,-2042,-1437,298806,28770
International Assistance Programs,United States International Development Finance Corporation,Program Account,USAID Mission-led Guarantees,2018,3.7,4.26,,0.56,424,3369,2887,190682,32142
International Assistance Programs,United States International Development Finance Corporation,Program Account,USAID Mission-led Guarantees,2019,1.49,2.26,2.21,-1.44,-2580,3530,2576,334588,96484
International Assistance Programs,United States International Development Finance Corporation,Program Account,USAID Mission-led Guarantees,2020,2.65,1.11,,-1.54,-288,-409,-357,25722,8792
International Assistance Programs,United States International Development Finance Corporation,Program Account,USAID Mission-led Guarantees,2021,5.29,2.5,,-2.79,1190,-1285,-1364,289262,147034
International Assistance Programs,United States International Development Finance Corporation,Program Account,USAID Mission-led Guarantees,2022,6.33,4.74,,-1.59,2237,2207,2180,290538,242627
International Assistance Programs,United States International Development Finance Corporation,Program Account,USAID Mission-led Guarantees,2023,11.88,9.89,,-1.99,974,925,845,81315,81315
International Assistance Programs,United States International Development Finance Corporation,Program Account,Loan Guarantees,1995,1.64,6.42,0.14,4.65,,-122597,-32264,279066,
International Assistance Programs,United States International Development Finance Corporation,Program Account,Loan Guarantees,2004,-5.22,-8.01,0.15,-2.94,,-52809,-39547,888238,
International Assistance Programs,United States International Development Finance Corporation,Program Account,Loan Guarantees,2005,2.31,-1.82,0.02,-4.16,,-32290,-17332,485586,
International Assistance Programs,United States International Development Finance Corporation,Program Account,Loan Guarantees,2006,-2.39,-3.9,0.01,-1.51,,-8328,-7224,409992,
International Assistance Programs,United States International Development Finance Corporation,Program Account,Loan Guarantees,2007,0.77,2.76,-0.12,2.12,-511,7606,13846,712977,15312
International Assistance Programs,United States International Development Finance Corporation,Program Account,Loan Guarantees,2008,-1.66,(2),,,,,,411005.0005,
International Assistance Programs,United States International Development Finance Corporation,Program Account,Loan Guarantees,2009,-5.38,-7.4,-0.45,-1.57,-73,-93399,-72899,1139017,408534
International Assistance Programs,United States International Development Finance Corporation,Program Account,Loan Guarantees,2010,-2.31,-7.01,-0.02,-4.68,-2081,-51154,-44502,655253,103927
International Assistance Programs,United States International Development Finance Corporation,Program Account,Loan Guarantees,2011,-8.37,-8.37,-0.67,0.67,-458,-30664,-28454,723570,107176
International Assistance Programs,United States International Development Finance Corporation,Program Account,Loan Guarantees,2012,-10.9,-8.84,-0.49,2.54,-9165,18133,12795,1735090,284213
International Assistance Programs,United States International Development Finance Corporation,Program Account,Loan Guarantees,2013,-12.89,-1.93,0.05,10.92,-12336,107208,85800,1400194,271611
International Assistance Programs,United States International Development Finance Corporation,Program Account,Loan Guarantees,2014,-11.19,-0.82,-0.09,10.46,9528,261553,230579,2150815,485912
International Assistance Programs,United States International Development Finance Corporation,Program Account,Loan Guarantees,2015,-9.05,-7.16,-0.01,1.91,-17715,-59089,-55844,1145553,541534
International Assistance Programs,United States International Development Finance Corporation,Program Account,Loan Guarantees,2016,-10.63,-14.84,-3.49,-0.72,-155882,-93278,-67213,1690218,767425
International Assistance Programs,United States International Development Finance Corporation,Program Account,Loan Guarantees,2017,-9.06,-7.84,-0.49,1.71,-6988,21730,22142,985983,408059
International Assistance Programs,United States International Development Finance Corporation,Program Account,Loan Guarantees,2018,-8.31,-1.22,-0.2,7.3,-33251,110936,101576,1621179,735355
International Assistance Programs,United States International Development Finance Corporation,Program Account,Loan Guarantees,2019,-11.71,-6.3,-0.55,5.96,64116,22647,12952,1616221,1278333
International Assistance Programs,United States International Development Finance Corporation,Program Account,Loan Guarantees,2020,-1.44,-4.74,0.1,-3.4,-4687,-12842,-12794,317222,247867
International Assistance Programs,United States International Development Finance Corporation,Program Account,Loan Guarantees,2021,-1.82,-1.27,-0.06,0.61,-1352,-13944,-13436,243374,224320
International Assistance Programs,United States International Development Finance Corporation,Program Account,Loan Guarantees,2022,3.51,2.14,-0.09,-1.28,-1107,-1981,-1887,67438,51545
International Assistance Programs,United States International Development Finance Corporation,Program Account,Loan Guarantees,2023,1.3,1.22,,-0.08,663,644,587,123054,108429
International Assistance Programs,United States International Development Finance Corporation,Program Account,Guaranteed Loan Investment Funds,2004,-8.55,-9.63,0.08,-1.16,15,-34,2253,104000,
International Assistance Programs,United States International Development Finance Corporation,Program Account,Guaranteed Loan Investment Funds,2005,-10.86,(2),,,,,,358000,
International Assistance Programs,United States International Development Finance Corporation,Program Account,Guaranteed Loan Investment Funds,2006,-4.14,(2),,,,,,93231,
International Assistance Programs,United States International Development Finance Corporation,Program Account,Guaranteed Loan Investment Funds,2009,-7.74,4.08,1.71,10.11,576,42068,33446,170500,
International Assistance Programs,United States International Development Finance Corporation,Program Account,Guaranteed Loan Investment Funds,2011,-7.44,-5.46,0.68,1.3,3914,4709,2758,232500,157619
International Assistance Programs,United States International Development Finance Corporation,Program Account,Guaranteed Loan Investment Funds,2012,-0.6,-2.95,0.51,-2.86,-250,-4381,-4151,95000,34119
International Assistance Programs,United States International Development Finance Corporation,Program Account,Guaranteed Loan Investment Funds,2013,-9.13,-6.88,-0.19,2.44,-137,1705,1530,44000,15000
International Assistance Programs,United States International Development Finance Corporation,Program Account,Guaranteed Loan Investment Funds,2014,-9.17,-4.25,0.12,4.79,6832,-91,-333,139100,17817
