Agency,Bureau,Account,Program,Cohort Year,Original Subsidy Rate (%),Current Reestimated Rate (%),Change Due to Interest Rates (pct pts),Change Due to Technical (pct pts),Current Reestimate Amt ($K),Net Lifetime Reestimate ($K),Net Lifetime Reest Excl Interest ($K),Total Disbursements ($K),Outstanding Balance ($K)
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,FFB Guaranteed Underwriting,2011,0.14,0.48,24.5,-24.16,17539,10063,1680,499000,499000
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,FFB Guaranteed Underwriting,2012,-6.32,3.05,-26.36,35.73,52770,48141,36445,424286,223501
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,FFB Guaranteed Underwriting,2013,-8,4.2,-15.38,27.58,42458,67887,56637,500000,314454
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,FFB Guaranteed Underwriting,2014,-4.32,-0.81,7.26,-3.74,28683,19713,16676,500000,161875
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,FFB Guaranteed Underwriting,2015,-3.97,-2.92,-5.83,6.88,32102,6058,2189,250000,175625
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,FFB Guaranteed Underwriting,2016,0,-2.05,-1.6,-0.45,39993,-4816,-6994,375000,276563
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,FFB Guaranteed Underwriting,2017,-3.78,0.14,4.08,-0.16,141508,38391,27443,750000,584620
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,FFB Guaranteed Underwriting,2018,-3.86,2.14,10.82,-4.82,74152,52587,41914,750000,621614
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,FFB Guaranteed Underwriting,2019,-0.39,-6.26,-15.35,9.48,-42790,-45335,-41287,750000,714562
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,FFB Guaranteed Underwriting,2020,-0.39,1.12,-12.37,13.88,11256,11360,10284,750000,733062
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,FFB Guaranteed Underwriting,2021,-0.57,-1.16,-0.86,0.27,14166,-6022,-3966,750000,736938
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,FFB Guaranteed Underwriting,2022,-0.64,(4),,,,,,,
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,FFB Guaranteed Underwriting,2023,-0.56,(4),,,,,,,
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,FFB Guaranteed Underwriting,2024,-2.76,(4),,,,,,,
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Electric Loan Modifications,2007,-3.82,-3.57,,0.25,6305,42678,-39921,1161184,429253
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Electric Loan Modifications,2014,-9.92,-3.23,,6.69,121,936,897,26047,14589
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Rural Energy Savings Program,2017,14.44,13.23,,-1.21,-53,-327,-259,12713,9610
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Rural Energy Savings Program,2018,13.33,11.36,,-1.97,-105,-280,-244,8255,6823
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Rural Energy Savings Program,2019,14.03,12.14,,-1.89,-297,-478,-408,18847,17135
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Rural Energy Savings Program,2020,17.25,15.52,,-1.73,-901,-1192,-999,49840,46731
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Rural Energy Savings Program,2021,10.25,9.7,,-0.55,-16,-47,-39,2698,2355
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Rural Energy Savings Program,2022,5.52,4.84,,-0.68,-13,-13,-12,1799,1774
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Rural Energy Savings Program,2023,10.37,(4),,,,,,,
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Rural Energy Savings Program,2024,17.89,17.23,,-0.66,-1,-1,-1,78,77
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Consumer Oriented Operating Loans,2021,-2.21,-1.91,-10.81,11.11,85,356,319,97497,56204
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Consumer Oriented Operating Loans,2022,-0.4,-29.77,-1.11,-28.26,-29388,-46806,-45217,146300,144508
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Consumer Oriented Operating Loans,2023,-2.56,0.55,5.2,-2.09,3967,3967,3644,122765,122765
Department of Agriculture,Rural Utilities Service,Rural Telephone Bank,Rural Telephone Bank,1993,0.02,-4.77,2.59,-7.38,2,-6839,-4184,81553,429
Department of Agriculture,Rural Utilities Service,Rural Telephone Bank,Rural Telephone Bank,1994,0.39,-5.8,5.44,-11.63,-3,-3651,-5599,99764,696
Department of Agriculture,Rural Utilities Service,Rural Telephone Bank,Rural Telephone Bank,1995,0.44,-6,7.12,-13.56,5,-2198,-4304,83346,1963
Department of Agriculture,Rural Utilities Service,Rural Telephone Bank,Rural Telephone Bank,1997,1.32,-0.73,2.64,-4.69,5111,5626,-1127,41660,4811
Department of Agriculture,Rural Utilities Service,Rural Telephone Bank,Rural Telephone Bank,1998,2.12,(2),,,,,,71713,
Department of Agriculture,Rural Utilities Service,Rural Telephone Bank,Rural Telephone Bank,1999,2.65,5.07,0.31,2.11,-56,10260,958,51939,9657
Department of Agriculture,Rural Utilities Service,Rural Telephone Bank,Rural Telephone Bank,2000,1.88,2.2,-7.16,7.48,1369,7787,-96,58894,25990
Department of Agriculture,Rural Utilities Service,Rural Telephone Bank,Rural Telephone Bank,2001,1.48,(2),,,,,,45488,
Department of Agriculture,Rural Utilities Service,Rural Telephone Bank,Rural Telephone Bank,2002,2.14,-8.84,-15.4,4.42,-7,-1224,-3694,42251,381
Department of Agriculture,Rural Utilities Service,Rural Telephone Bank,Rural Telephone Bank,2003,1.38,-12.11,-18.16,4.67,1,-5361,-5179,47060,302
Department of Agriculture,Rural Utilities Service,Rural Telephone Bank,Rural Telephone Bank,2004,-4.32,-9.5,-14.12,8.94,,-3319,-2962,66027,
Department of Agriculture,Rural Utilities Service,Rural Telephone Bank,Rural Telephone Bank,2005,-1.83,-5.58,-16.9,13.15,12,-1002,-3380,91732,2748
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",Broadband Treasury Rate Loans,2002,-0.07,29.65,-1.26,30.98,,21213,14655,52767,645
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",Broadband Treasury Rate Loans,2004,2.18,13.61,-0.37,11.8,-644,26488,14673,146544,3591
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",Broadband Treasury Rate Loans,2005,2.13,17.11,6.84,8.14,-50,15728,9284,71454,
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",Broadband Treasury Rate Loans,2006,2.15,17.78,2.79,12.84,-1219,20673,13905,100787,5408
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",Broadband Treasury Rate Loans,2007,2.15,(2),,,,,,70973,
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",Broadband Treasury Rate Loans,2008,2.15,58.11,17.71,38.25,-766,110966,87418,170093,1224
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",Broadband Treasury Rate Loans,2009,3.9,-2.91,-5.32,-1.49,-72,-198,-579,5221,1663
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",Broadband Treasury Rate Loans,2010,7.24,0.9,-2.43,-3.91,-3242,-49600,-61702,1094008,218204
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",Broadband Treasury Rate Loans,2011,6.84,-5.49,-0.88,-11.45,-5274,-2245,-3004,24450,9403
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",Broadband Treasury Rate Loans,2012,3.55,-5.04,-2.66,-5.93,161,-3224,-2939,38335,18033
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",Broadband Treasury Rate Loans,2016,22.8,-2.31,-3.76,-21.35,12,-930,-859,3662,2409
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",Broadband Treasury Rate Loans,2017,16.64,-2.67,-0.91,-18.41,-1232,-4238,-4032,22558,14743
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",Broadband Treasury Rate Loans,2018,16.75,-2.13,-2.54,-16.33,-477,-3627,-3435,19650,16409
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",Broadband Treasury Rate Loans,2019,19.53,0.26,,-19.27,-931,-1916,-1663,6811,5996
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",ReConnect Direct Loans,2020,34.45,12.2,,-22.25,-1684,-3468,-2995,10755,10770
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",ReConnect Direct Loans,2022,22.02,3.33,,-18.69,-3914,-4156,-4037,20900,20900
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",ReConnect Direct Loans,2023,13.64,(4),,,,,,,
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",ReConnect Direct Loans,2024,22.52,(4),,,,,,,
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",ReConnect Grant Assisted Loans,2020,22.53,5.17,,-17.36,-24734,-38501,-32458,193381,193905
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",ReConnect Grant Assisted Loans,2021,24.63,-9.02,,-33.65,-13654,-18437,-17111,51912,51912
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",ReConnect Grant Assisted Loans,2022,25.84,-28.44,,-54.28,-11430,-11440,-11085,20970,20970
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",ReConnect Grant Assisted Loans,2023,10.1,(4),,,,,,,
Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Program",ReConnect Grant Assisted Loans,2024,9.16,(4),,,,,,,
Department of Agriculture,Foreign Agricultural Service,Public Law 480 Title I Direct Credit and Food for Progress Program,P. L. 480 Title I Loans,1992,67.1,59.39,-2.66,-5.05,213,-84063,-34072,384029,7000
Department of Agriculture,Foreign Agricultural Service,Public Law 480 Title I Direct Credit and Food for Progress Program,P. L. 480 Title I Loans,1993,58.75,46.92,3.03,-14.87,954,-360033,-207234,853948,1737
Department of Agriculture,Foreign Agricultural Service,Public Law 480 Title I Direct Credit and Food for Progress Program,P. L. 480 Title I Loans,1994,76.54,46.76,0.76,-30.54,606,-158518,-68765,234327,8954
Department of Agriculture,Foreign Agricultural Service,Public Law 480 Title I Direct Credit and Food for Progress Program,P. L. 480 Title I Loans,1995,81.19,46.44,-1.35,-33.4,769,-126886,-61221,179855,8306
Department of Agriculture,Foreign Agricultural Service,Public Law 480 Title I Direct Credit and Food for Progress Program,P. L. 480 Title I Loans,1996,79.65,53.67,-3.78,-22.2,-216,-125786,-67713,205793,7240
Department of Agriculture,Foreign Agricultural Service,Public Law 480 Title I Direct Credit and Food for Progress Program,P. L. 480 Title I Loans,1997,70.87,62.56,-1.16,-7.15,373,-46928,-27737,158140,7999
Department of Agriculture,Foreign Agricultural Service,Public Law 480 Title I Direct Credit and Food for Progress Program,P. L. 480 Title I Loans,1998,67.03,49.86,-2.6,-14.57,2424,-50105,-32245,168928,10063
Department of Agriculture,Foreign Agricultural Service,Public Law 480 Title I Direct Credit and Food for Progress Program,P. L. 480 Title I Loans,1999,76.45,31.42,-16.13,-28.9,-1656,-407070,-202595,594430,6487
Department of Agriculture,Foreign Agricultural Service,Public Law 480 Title I Direct Credit and Food for Progress Program,P. L. 480 Title I Loans,2000,50.56,35.78,3.77,-18.55,1202,-17935,-21712,81534,8539
Department of Agriculture,Foreign Agricultural Service,Public Law 480 Title I Direct Credit and Food for Progress Program,P. L. 480 Title I Loans,2001,60.76,52.15,2.65,-11.26,1739,-10301,-11823,104461,20833
Department of Agriculture,Foreign Agricultural Service,Public Law 480 Title I Direct Credit and Food for Progress Program,P. L. 480 Title I Loans,2002,76.18,45.84,-0.4,-29.94,3435,-36492,-26111,107138,18385
Department of Agriculture,Foreign Agricultural Service,Public Law 480 Title I Direct Credit and Food for Progress Program,P. L. 480 Title I Loans,2003,56.8,43.59,-4.7,-8.51,-83,-10009,-6700,59785,22994
Department of Agriculture,Foreign Agricultural Service,Public Law 480 Title I Direct Credit and Food for Progress Program,P. L. 480 Title I Loans,2004,57.17,42.66,-0.61,-13.9,2284,-6493,-6791,45819,16861
Department of Agriculture,Foreign Agricultural Service,Public Law 480 Title I Direct Credit and Food for Progress Program,P. L. 480 Title I Loans,2005,58.84,43.34,-3.28,-12.22,-87,-5295,-3982,39269,18124
Department of Agriculture,Foreign Agricultural Service,Public Law 480 Title I Direct Credit and Food for Progress Program,P. L. 480 Title I Loans,2006,54.14,46.86,-1.5,-5.78,4009,-378,-1891,28828,10714
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,1999,2,-9.09,(3),-11.09,,-572,-283,4197,16
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,2002,0.26,-13.37,-4.28,-9.35,-1,-341,-544,3213,71
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,2003,-12.03,-15.5,-19.35,15.88,-1,41,-442,2663,39
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,2004,-15.94,-11.83,-17.41,21.52,,187,5,3252,68
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,2005,-18.45,-10.15,-21.76,30.06,2,331,6,3092,149
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,2007,-8.08,-12,-17.48,13.56,12,44,-282,2355,243
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,2008,-10.58,-11.42,-15.47,14.63,,194,-216,3765,
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,2009,-12.78,-14.12,-3.26,1.92,2,237,-77,4961,254
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,2010,-12,-14.65,0.77,-3.42,-16,-210,-140,5557,592
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,2011,-15.25,-22.17,-18.63,11.71,-24,83,-285,3776,931
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,2012,-12.8,-19.83,-13.22,6.19,-9,131,-330,4476,569
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,2013,-2.7,-13.83,-7.61,-3.52,-9,-114,-144,1396,333
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,2014,-8.06,-14.69,0.51,-7.14,8,-59,-73,1127,419
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,2015,-2.37,-12.96,-14.13,3.54,-4,-58,-131,1266,164
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,2016,-3.27,-12.51,-7.79,-1.45,-9,-80,-143,1591,549
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,2017,-0.22,-12.29,-7.12,-4.95,2,-114,-141,1229,655
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,2018,-13.67,-11.53,-1.13,3.27,-17,31,39,1824,963
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,2019,-11.81,-33.48,-6.94,-14.73,-486,-363,-358,1661,482
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,2020,-10.8,0.21,,11.01,54,485,458,4211,3383
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,2021,-13.17,-10.83,,2.34,49,57,54,2334,2056
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,2022,-15.27,-22.03,,-6.76,50,-150,-148,2122,1920
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,2023,-13.69,-17.72,,-4.03,25,-50,-50,1157,1091
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Individual Fishing Quota Loans,2024,-11.26,31.29,,42.55,88,88,85,200,198
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Traditional Direct Loans,2007,-8.01,-4.51,-14.25,17.75,-*,2665,-748,33118,12
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Traditional Direct Loans,2008,-4.63,-6.26,-14.8,13.17,13,1275,-2825,29116,
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Traditional Direct Loans,2009,-6.43,-7.84,-16.04,14.63,93,2134,-5313,54760,2461
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Traditional Direct Loans,2010,-8.49,-11.01,-8.81,6.29,-2,-1728,968,56500,223
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Traditional Direct Loans,2011,-10.46,-23.39,-16.17,3.24,8,-1588,-6097,46671,11313
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Traditional Direct Loans,2012,-13.77,-6.1,-8.86,16.53,-27,3012,2556,34521,1810
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Traditional Direct Loans,2013,-4.83,-11.38,-4.79,-1.76,-2,-267,-2164,31119,46
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Traditional Direct Loans,2014,-7.36,-17.43,0.43,-10.5,-249,-6201,-6646,67957,3624
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Traditional Direct Loans,2015,-4.87,-18.72,,-13.85,-474,-6893,-7511,54824,18503
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Traditional Direct Loans,2016,-3.05,-7.53,-22.4,17.92,-37,-413,-421,9376,1899
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Traditional Direct Loans,2017,-0.36,-4.88,-27.04,22.52,-4,-2641,-3053,68874,1717
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Traditional Direct Loans,2018,-9.58,-4.61,-11.18,16.15,-81,2345,2282,45969,2989
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Traditional Direct Loans,2019,-8.71,-6.5,-6.23,8.44,-49,295,302,13890,9487
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Traditional Direct Loans,2020,-7.92,-10.22,-15.26,12.96,-674,-1373,-1852,78455,49063
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Traditional Direct Loans,2021,-8.81,-9.09,-7.45,7.17,-416,-298,-226,81319,65005
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Traditional Direct Loans,2022,-10.37,-20.31,,-9.94,-522,-1582,-1558,14161,12361
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Traditional Direct Loans,2023,-7.76,-17.5,,-9.74,-266,-631,-615,5200,4977
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Traditional Direct Loans,2024,-5.49,-7.2,,-1.71,-321,-321,-309,18082,17963
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Pacific Ground Fish,2003,1.08,-10.75,-7.23,-4.6,-62,-8935,-7049,35662,8272
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Non-Pollock Buyback,2006,1,-18.99,,-19.99,-115,-8258,-7042,37700,21063
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Crab Buyback,2002,-4.6,-18.19,-7.3,-6.29,-346,-14987,-14422,97399,55944
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Seine Buyback,2012,1,-8.72,,-9.72,-48,-2541,-2037,23261,15635
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Finance,Community Development Quota,2023,-10,-20.58,11.92,-22.5,-9468,-9468,-9115,87792,86661
Department of Defense--Military Programs,Procurement,Defense Production Act,Defense Production Act Loans,2022,-4.6,-27.94,,-23.34,-51911,-48825,-46888,246000,246000
Department of Defense--Military Programs,Family Housing,Department of Defense Family Housing Improvement Fund,Family Housing Improvement Fund Direct Loans,2000,53.48,56.62,-0.89,1.11,,-1314,328,51149,18844
Department of Defense--Military Programs,Family Housing,Department of Defense Family Housing Improvement Fund,Family Housing Improvement Fund Direct Loans,2001,52.63,40.33,-1.26,-11.05,,-15827,-9579,79899,53790
Department of Defense--Military Programs,Family Housing,Department of Defense Family Housing Improvement Fund,Family Housing Improvement Fund Direct Loans,2002,37.97,18.32,-4.9,-14.75,-42,-4353,-2893,21950,17857
Department of Defense--Military Programs,Family Housing,Department of Defense Family Housing Improvement Fund,Family Housing Improvement Fund Direct Loans,2003,34.92,7.31,-15.33,-12.28,-219,-21532,-13538,58550,53061
Department of Defense--Military Programs,Family Housing,Department of Defense Family Housing Improvement Fund,Family Housing Improvement Fund Direct Loans,2004,34.41,22.87,-3.01,-8.53,-232,-20200,-12058,118125,91595
Department of Defense--Military Programs,Family Housing,Department of Defense Family Housing Improvement Fund,Family Housing Improvement Fund Direct Loans,2005,19.13,-16.06,-19.47,-15.73,-24249,-88922,-61634,207505,177210
Department of Defense--Military Programs,Family Housing,Department of Defense Family Housing Improvement Fund,Family Housing Improvement Fund Direct Loans,2006,1.63,11.73,-12.76,22.86,-344,11689,5318,74700,61951
Department of Defense--Military Programs,Family Housing,Department of Defense Family Housing Improvement Fund,Family Housing Improvement Fund Direct Loans,2007,14.57,4.75,-19.37,9.55,-384,-74248,-67058,405833,352280
Department of Defense--Military Programs,Family Housing,Department of Defense Family Housing Improvement Fund,Family Housing Improvement Fund Direct Loans,2008,20.64,12.04,-16.12,7.53,-858,-17633,-9749,136593,118429
Department of Defense--Military Programs,Family Housing,Department of Defense Family Housing Improvement Fund,Family Housing Improvement Fund Direct Loans,2009,32.06,15,-15.78,-1.28,-582,-24734,-18312,117000,97510
Department of Defense--Military Programs,Family Housing,Department of Defense Family Housing Improvement Fund,Family Housing Improvement Fund Direct Loans,2011,23.64,4.67,-21.78,2.81,50916,-41929,-46916,254474,232027
Department of Defense--Military Programs,Family Housing,Department of Defense Family Housing Improvement Fund,Family Housing Improvement Fund Direct Loans,2012,14.07,-8.73,-20.71,-2.09,-1116,-33028,-30004,142500,130797
Department of Defense--Military Programs,Family Housing,Department of Defense Family Housing Improvement Fund,Family Housing Improvement Fund Direct Loans,2013,17.55,-6.63,-15.94,-8.23,-3357,-77426,-66978,324730,297311
Department of Education,Office of Postsecondary Education,College Housing and Academic Facilities Loans,College Housing and Academic Facilities Loans,1993,10.09,11.01,3.77,-2.85,7,-766,295,17871,1494
Department of Education,Office of Postsecondary Education,College Housing and Academic Facilities Loans,Historically Black Colleges and Universities,2017,7.14,(2),,,,,,136232,
Department of Education,Office of Postsecondary Education,College Housing and Academic Facilities Loans,Historically Black Colleges and Universities,2018,6.42,(2),,,,,,248043,
Department of Education,Office of Postsecondary Education,College Housing and Academic Facilities Loans,Historically Black Colleges and Universities,2019,3.48,69.85,-2.76,69.13,-6894,-284,6303,201406,65955
Department of Education,Office of Postsecondary Education,College Housing and Academic Facilities Loans,Historically Black Colleges and Universities,2020,9.5,71.39,,61.89,-88280,21974,27942,204040,50805
Department of Education,Office of Postsecondary Education,College Housing and Academic Facilities Loans,Historically Black Colleges and Universities,2021,10.25,8.96,,-1.29,-20,-27815,-28902,222756,178396
Department of Education,Office of Postsecondary Education,College Housing and Academic Facilities Loans,Historically Black Colleges and Universities,2022,7.35,-27.08,,-34.43,-7890,-30731,-29299,87324,60693
Department of Education,Office of Postsecondary Education,College Housing and Academic Facilities Loans,Historically Black Colleges and Universities,2023,3.74,-15.34,,-19.08,-10567,-14339,-13771,67621,15945
Department of Education,Office of Postsecondary Education,College Housing and Academic Facilities Loans,Historically Black Colleges and Universities,2024,9.09,3.31,,-5.78,1414,1414,1360,58076,
Department of Education,Office of Federal Student Aid,TEACH Grant,TEACH Grants,2008,13.03,37.34,-2.58,26.89,31,1719,1174,6541,1948
Department of Education,Office of Federal Student Aid,TEACH Grant,TEACH Grants,2009,-3.63,36.44,5.12,34.95,532,36051,28938,79520,22793
Department of Education,Office of Federal Student Aid,TEACH Grant,TEACH Grants,2010,13.63,31.61,-5.48,23.46,181,26152,18449,117237,37929
Department of Education,Office of Federal Student Aid,TEACH Grant,TEACH Grants,2011,13.31,32.87,-3.32,22.88,-943,27495,18714,126386,44452
Department of Education,Office of Federal Student Aid,TEACH Grant,TEACH Grants,2012,10.25,32.12,-9.42,31.29,-2948,25648,19534,118152,44789
Department of Education,Office of Federal Student Aid,TEACH Grant,TEACH Grants,2013,11.01,45.29,0.68,33.6,-1351,33773,28148,97434,39252
Department of Education,Office of Federal Student Aid,TEACH Grant,TEACH Grants,2014,13.75,50.73,2.35,34.63,-1474,36343,31974,97024,41489
Department of Education,Office of Federal Student Aid,TEACH Grant,TEACH Grants,2015,16.57,54.98,-10.74,49.15,-981,31235,26946,83672,40720
Department of Education,Office of Federal Student Aid,TEACH Grant,TEACH Grants,2016,13.05,54.37,-8.99,50.31,-514,33995,30943,90258,51946
Department of Education,Office of Federal Student Aid,TEACH Grant,TEACH Grants,2017,14.97,50.59,-6.15,41.77,707,23142,21573,84027,58354
Department of Education,Office of Federal Student Aid,TEACH Grant,TEACH Grants,2018,23.06,48.87,-0.26,26.07,758,10320,9573,84093,68228
Department of Education,Office of Federal Student Aid,TEACH Grant,TEACH Grants,2019,28.37,44.76,-2.34,18.73,-867,-4852,-5157,77370,69559
Department of Education,Office of Federal Student Aid,TEACH Grant,TEACH Grants,2020,29.35,44.65,-9.86,25.16,-3443,-8217,-8777,75263,70478
Department of Education,Office of Federal Student Aid,TEACH Grant,TEACH Grants,2021,31.72,46.81,-1.73,16.82,-3315,5830,5713,75449,71350
Department of Education,Office of Federal Student Aid,TEACH Grant,TEACH Grants,2022,42.57,48.99,,6.42,-3929,-4713,-2432,67164,63774
Department of Education,Office of Federal Student Aid,TEACH Grant,TEACH Grants,2023,45.65,49.5,,3.85,2613,2423,2225,70891,49484
Department of Education,Office of Federal Student Aid,TEACH Grant,TEACH Grants,2024,50.44,47.05,,-3.39,-2997,-2997,-2884,53159,52851
Department of Education,Office of Federal Student Aid,Federal Direct Student Loan,Federal Direct Student Loans,1994,10.01,12.42,-0.08,2.49,72735,152390,19104,818516,18946
Department of Education,Office of Federal Student Aid,Federal Direct Student Loan,Federal Direct Student Loans,1995,8.82,11.92,0.97,2.13,584335,997634,94271,4935499,170265
Department of Education,Office of Federal Student Aid,Federal Direct Student Loan,Federal Direct Student Loans,1996,2.56,10.87,5.68,2.63,1022372,2461551,677288,9450106,472238
